Symbol,Name
AAF.L,Airtel Africa PLC
AAL.L,Anglo American PLC
ABF.L,Associated British Foods PLC
ADM.L,Admiral Group PLC
AHT.L,Ashtead Group PLC
ANTO.L,Antofagasta PLC
AUTO.L,Auto Trader Group PLC
AV/.L,Aviva PLC
AZN.L,AstraZeneca PLC
BA/.L,BAE Systems PLC
BARC.L,Barclays PLC
BATS.L,British American Tobacco PLC
BDEV.L,Barratt Developments PLC
BEZ.L,Beazley PLC
BKG.L,Berkeley Group Holdings PLC
BME.L,B&M European Value Retail SA
BNZL.L,Bunzl PLC
BP/.L,BP PLC
BRBY.L,Burberry Group PLC
BT/A.L,BT Group PLC
CCH.L,Coca-Cola HBC AG
CNA.L,Centrica PLC
CPG.L,Compass Group PLC
CRDA.L,Croda International PLC
CTEC.L,ConvaTec Group PLC
DCC.L,DCC PLC
DGE.L,Diageo PLC
DPH.L,Dechra Pharmaceuticals PLC
DPLM.L,Diploma PLC
EDV.L,Endeavour Mining PLC
ENT.L,Entain PLC
EXPN.L,Experian PLC
FCIT.L,F&C Investment Trust PLC
FLTR.L,Flutter Entertainment PLC
FRAS.L,Frasers Group PLC
FRES.L,Fresnillo PLC
GLEN.L,Glencore PLC
GSK.L,GSK PLC
HIK.L,Hikma Pharmaceuticals PLC
HL/.L,Hargreaves Lansdown PLC
HLMA.L,Halma PLC
HLN.L,Haleon PLC
HSBA.L,HSBC Holdings PLC
HWDN.L,Howden Joinery Group PLC
IAG.L,International Consolidated Airlines Group SA
IHG.L,InterContinental Hotels Group PLC
III.L,3i Group PLC
IMB.L,Imperial Brands PLC
IMI.L,IMI PLC
INF.L,Informa PLC
ITRK.L,Intertek Group PLC
JD/.L,JD Sports Fashion PLC
KGF.L,Kingfisher PLC
LAND.L,Land Securities Group PLC
LGEN.L,Legal & General Group PLC
LLOY.L,Lloyds Banking Group PLC
LSEG.L,London Stock Exchange Group PLC
MKS.L,Marks & Spencer Group PLC
MNDI.L,Mondi PLC
MNG.L,M&G PLC
MRO.L,Melrose Industries PLC
NG/.L,National Grid PLC
NWG.L,NatWest Group PLC
NXT.L,Next PLC
OCDO.L,Ocado Group PLC
PHNX.L,Phoenix Group Holdings PLC
PRU.L,Prudential PLC
PSH.L,Pershing Square Holdings Ltd/Fund
PSON.L,Pearson PLC
REL.L,RELX PLC
RIO.L,Rio Tinto PLC
RKT.L,Reckitt Benckiser Group PLC
RMV.L,Rightmove PLC
RR/.L,Rolls-Royce Holdings PLC
RS1.L,RS GROUP PLC
RTO.L,Rentokil Initial PLC
SBRY.L,J Sainsbury PLC
SDR.L,Schroders PLC
SGE.L,Sage Group PLC/The
SGRO.L,Segro PLC
SHEL.L,Shell PLC
SKG.L,Smurfit Kappa Group PLC
SMDS.L,DS Smith PLC
SMIN.L,Smiths Group PLC
SMT.L,Scottish Mortgage Investment Trust PLC
SN/.L,Smith & Nephew PLC
SPX.L,Spirax-Sarco Engineering PLC
SSE.L,SSE PLC
STAN.L,Standard Chartered PLC
STJ.L,St James's Place PLC
SVT.L,Severn Trent PLC
TSCO.L,Tesco PLC
TW/.L,Taylor Wimpey PLC
ULVR.L,Unilever PLC
UTG.L,UNITE Group PLC/The
UU/.L,United Utilities Group PLC
VOD.L,Vodafone Group PLC
WEIR.L,Weir Group PLC/The
WPP.L,WPP PLC
WTB.L,Whitbread PLC
